Date,Store,Category,Units Sold,Unit Price,Discount %,Revenue,Month,MonthName,Quarter,Weekday
2024-06-24,Mumbai,Clothing,4.0,1191.1,5.0,4526.18,6,Jun,2,Monday
2025-03-08,Bangalore,Clothing,6.0,1295.87,10.0,6997.7,3,Mar,1,Saturday
2024-10-17,Mumbai,Groceries,11.0,465.55,5.0,4865.0,10,Oct,4,Thursday
2025-08-02,Pune,Clothing,10.0,1237.04,5.0,11751.88,8,Aug,3,Saturday
2025-06-08,Mumbai,Home & Kitchen,5.0,2488.33,25.0,9331.24,6,Jun,2,Sunday
2025-07-09,Pune,Groceries,4.0,366.61,15.0,1246.47,7,Jul,3,Wednesday
2025-10-23,Mumbai,Clothing,12.0,913.54,20.0,8769.98,10,Oct,4,Thursday
2025-09-09,Mumbai,Electronics,9.0,6714.97,15.0,51369.52,9,Sep,3,Tuesday
2024-03-17,Mumbai,Clothing,8.0,1108.31,10.0,7979.83,3,Mar,1,Sunday
2024-04-05,Mumbai,Groceries,10.0,436.96,10.0,3932.64,4,Apr,2,Friday
2025-05-21,Chennai,Clothing,9.0,1120.03,10.0,9072.24,5,May,2,Wednesday
2025-06-01,Pune,Groceries,3.0,478.88,15.0,1221.14,6,Jun,2,Sunday
2025-01-01,Mumbai,Electronics,7.0,7358.59,0.0,51510.13,1,Jan,1,Wednesday
2024-03-09,Mumbai,Home & Kitchen,10.0,2237.37,5.0,21255.01,3,Mar,1,Saturday
2024-09-17,Mumbai,Beauty,2.0,922.74,10.0,1660.93,9,Sep,3,Tuesday
2025-03-26,Delhi,Home & Kitchen,6.0,2563.42,25.0,11535.39,3,Mar,1,Wednesday
2025-01-21,Bangalore,Clothing,4.0,1317.97,10.0,4744.69,1,Jan,1,Tuesday
2024-05-19,Mumbai,Home & Kitchen,7.0,1620.34,5.0,10775.26,5,May,2,Sunday
2025-03-19,Bangalore,Groceries,7.0,369.14,0.0,2583.98,3,Mar,1,Wednesday
2025-07-28,Delhi,Beauty,4.0,552.62,10.0,1989.43,7,Jul,3,Monday
2024-03-20,Pune,Groceries,9.0,491.19,20.0,3536.57,3,Mar,1,Wednesday
2025-12-29,Mumbai,Sports,7.0,2650.21,0.0,18551.47,12,Dec,4,Monday
2024-03-13,Mumbai,Electronics,4.0,6731.78,25.0,20195.34,3,Mar,1,Wednesday
2025-01-29,Mumbai,Beauty,9.0,652.96,5.0,5582.81,1,Jan,1,Wednesday
2024-04-03,Delhi,Beauty,5.0,745.73,20.0,2982.92,4,Apr,2,Wednesday
2025-11-15,Mumbai,Groceries,10.0,267.9,10.0,2411.1,11,Nov,4,Saturday
2025-01-17,Mumbai,Sports,7.0,2489.61,25.0,13070.45,1,Jan,1,Friday
2024-10-14,Bangalore,Groceries,9.0,383.52,5.0,3279.1,10,Oct,4,Monday
2025-03-03,Bangalore,Electronics,3.0,9484.44,5.0,27030.65,3,Mar,1,Monday
2025-06-26,Pune,Groceries,11.0,266.26,20.0,2343.09,6,Jun,2,Thursday
2025-03-29,Mumbai,Groceries,3.0,365.17,10.0,985.96,3,Mar,1,Saturday
2025-01-22,Bangalore,Sports,6.0,1873.36,10.0,10116.14,1,Jan,1,Wednesday
2025-12-15,Chennai,Sports,10.0,1800.2,10.0,16201.8,12,Dec,4,Monday
2024-04-29,Bangalore,Electronics,8.0,6529.38,20.0,41788.03,4,Apr,2,Monday
2024-01-30,Mumbai,Sports,6.0,1976.74,10.0,10674.4,1,Jan,1,Tuesday
2024-01-06,Pune,Electronics,9.0,6955.93,5.0,59473.2,1,Jan,1,Saturday
2024-06-18,Mumbai,Sports,7.0,1345.2,25.0,7062.3,6,Jun,2,Tuesday
2025-02-21,Delhi,Groceries,5.0,422.4,15.0,1795.2,2,Feb,1,Friday
2024-03-22,Delhi,Groceries,5.0,458.51,10.0,2063.3,3,Mar,1,Friday
2024-08-13,Pune,Electronics,3.0,5033.02,0.0,15099.06,8,Aug,3,Tuesday
2025-10-21,Delhi,Groceries,5.0,345.8,5.0,1642.55,10,Oct,4,Tuesday
2025-05-06,Mumbai,Beauty,7.0,752.4,15.0,4476.78,5,May,2,Tuesday
2024-08-30,Bangalore,Home & Kitchen,6.0,1795.4,10.0,9695.16,8,Aug,3,Friday
2024-11-06,Mumbai,Groceries,11.0,441.83,5.0,4617.12,11,Nov,4,Wednesday
2025-06-27,Delhi,Home & Kitchen,6.0,1601.88,15.0,8169.59,6,Jun,2,Friday
