Date,Store,Category,Units Sold,Unit Price,Discount %,Revenue
2024-06-24,Mumbai,Clothing,4.0,1191.1,5.0,4526.16
2025-03-08,Bangalore,Clothing,6.0,1295.87,10.0,6997.7
2024-10-17,Mumbai,Groceries,11.0,465.55,5.0,4864.99
2025-08-02,Pune,Clothing,10.0,1237.04,5.0,11751.89
2025-06-08,Mumbai,Home & Kitchen,5.0,2488.33,25.0,9331.23
2025-07-09,Pune,Groceries,4.0,366.61,15.0,1246.48
2025-10-23,Mumbai,Clothing,12.0,913.54,20.0,8769.96
2025-09-09,Mumbai,Electronics,9.0,6714.97,15.0,51369.53
2024-03-17,Mumbai,Clothing,8.0,1108.31,10.0,7979.84
2024-04-05,Mumbai,Groceries,10.0,436.96,10.0,3932.61
2025-05-21,Chennai,Clothing,9.0,1120.03,10.0,9072.27
2025-06-01,Pune,Groceries,3.0,478.88,15.0,1221.13
2025-01-01,Mumbai,Electronics,7.0,7358.59,0.0,51510.12
2024-03-09,Mumbai,Home & Kitchen,10.0,2237.37,5.0,21254.97
2024-09-17,Mumbai,Beauty,2.0,922.74,10.0,1660.93
2025-03-26,Delhi,Home & Kitchen,6.0,2563.42,25.0,11535.38
2025-01-21,Bangalore,Clothing,4.0,1317.97,10.0,4744.68
2024-05-19,Mumbai,Home & Kitchen,7.0,1620.34,5.0,10775.27
2025-03-19,Bangalore,Groceries,7.0,369.14,0.0,2583.99
2025-07-28,Delhi,Beauty,4.0,552.62,10.0,1989.44
2024-03-20,Pune,Groceries,9.0,491.19,20.0,3536.55
2025-12-29,Mumbai,Sports,7.0,2650.21,0.0,18551.45
2024-03-13,Mumbai,Electronics,4.0,6731.78,25.0,20195.33
2025-01-29,Mumbai,Beauty,9.0,652.96,5.0,5582.82
2024-04-03,Delhi,Beauty,5.0,745.73,20.0,2982.92
2025-11-15,Mumbai,Groceries,10.0,267.9,10.0,2411.06
2025-01-17,Mumbai,Sports,7.0,2489.61,25.0,13070.46
2024-10-14,Bangalore,Groceries,9.0,383.52,5.0,3279.07
2025-03-03,Bangalore,Electronics,3.0,9484.44,5.0,27030.66
2025-06-26,Pune,Groceries,11.0,266.26,20.0,2343.06
2025-03-29,Mumbai,Groceries,3.0,365.17,10.0,985.96
2025-01-22,Bangalore,Sports,6.0,1873.36,10.0,10116.17
2025-12-15,Chennai,Sports,10.0,1800.2,10.0,16201.84
2024-04-29,Bangalore,Electronics,8.0,6529.38,20.0,41788.04
2024-01-30,Mumbai,Sports,6.0,1976.74,10.0,10674.39
2024-01-06,Pune,Electronics,9.0,6955.93,5.0,59473.2
2024-06-18,Mumbai,Sports,7.0,1345.2,25.0,7062.28
2025-02-21,Delhi,Groceries,5.0,422.4,15.0,1795.21
2024-03-22,Delhi,Groceries,5.0,458.51,10.0,2063.31
2024-08-13,Pune,Electronics,3.0,5033.02,0.0,15099.06
2025-10-21,Delhi,Groceries,5.0,345.8,5.0,1642.55
2025-05-06,Mumbai,Beauty,7.0,752.4,15.0,4476.77
2024-08-30,Bangalore,Home & Kitchen,6.0,1795.4,10.0,9695.14
2024-11-06,Mumbai,Groceries,11.0,441.83,5.0,4617.13
2025-06-27,Delhi,Home & Kitchen,6.0,1601.88,15.0,8169.6
2025-02-08,Mumbai,Clothing,4.0,1463.65,5.0,5561.89
2024-10-30,Chennai,Clothing,9.0,990.2,0.0,8911.83
2025-05-09,Mumbai,Beauty,5.0,672.19,10.0,3024.87
2025-07-09,Bangalore,Electronics,7.0,10509.97,5.0,69891.3
2024-08-05,Mumbai,Sports,2.0,1681.46,10.0,3026.62
2024-08-22,Bangalore,Groceries,1.0,324.62,25.0,243.46
2024-10-19,Mumbai,Electronics,3.0,5657.74,15.0,14427.23
2025-05-12,Bangalore,Electronics,6.0,6291.99,5.0,35864.34
2024-11-17,Delhi,Home & Kitchen,7.0,1906.9,10.0,12013.47
2025-10-04,Bangalore,Groceries,9.0,442.68,5.0,3784.9
2024-06-22,Mumbai,Groceries,7.0,315.85,5.0,2100.42
2025-02-12,Pune,Sports,4.0,2551.86,10.0,9186.71
2024-09-29,Bangalore,Electronics,9.0,6981.9,5.0,59695.22
2024-06-10,Chennai,Clothing,4.0,1218.99,10.0,4388.38
2024-03-26,Mumbai,Electronics,8.0,10704.18,5.0,81351.76
2025-10-18,Delhi,Beauty,9.0,511.86,10.0,4146.04
2025-08-08,Pune,Home & Kitchen,5.0,1551.63,15.0,6594.45
2024-07-02,Mumbai,Sports,8.0,1997.94,10.0,14385.2
2024-05-14,Mumbai,Groceries,6.0,340.86,0.0,2045.16
2024-05-04,Mumbai,Sports,8.0,2124.75,0.0,16998.01
2024-09-13,Pune,Groceries,9.0,442.53,10.0,3584.49
2025-04-17,Pune,Groceries,9.0,225.68,0.0,2031.13
2025-08-14,Pune,Groceries,5.0,372.58,5.0,1769.78
2024-03-21,Delhi,Electronics,9.0,10175.49,0.0,91579.38
2025-11-17,Delhi,Electronics,10.0,5991.65,10.0,53924.88
